key,Arc heating start,Arc heating end,active_power,reactive_power
1,5/3/2019 11:02,5/3/2019 11:06,0.976058751,0.687083721
1,5/3/2019 11:07,5/3/2019 11:10,0.805607081,0.520285249
1,5/3/2019 11:11,5/3/2019 11:14,0.744363427,0.498805404
1,5/3/2019 11:18,5/3/2019 11:24,1.659362555,1.062669396
1,5/3/2019 11:26,5/3/2019 11:28,0.692754745,0.41439724
2,5/3/2019 11:34,5/3/2019 11:36,0.438063341,0.283043355
2,5/3/2019 11:38,5/3/2019 11:44,1.296415091,0.892913669
2,5/3/2019 11:46,5/3/2019 11:48,0.490376592,0.305281043
2,5/3/2019 11:49,5/3/2019 11:53,0.827743053,0.516873837
3,5/3/2019 12:06,5/3/2019 12:11,1.062052937,0.671494186
3,5/3/2019 12:13,5/3/2019 12:15,0.484205604,0.312099993
3,5/3/2019 12:18,5/3/2019 12:20,0.429354549,0.271774471
3,5/3/2019 12:25,5/3/2019 12:27,0.299989224,0.187805891
3,5/3/2019 12:31,5/3/2019 12:32,0.250279903,0.155901432
4,5/3/2019 12:39,5/3/2019 12:43,0.875313387,0.61440438
4,5/3/2019 12:44,5/3/2019 12:46,0.425692439,0.268482387
4,5/3/2019 12:48,5/3/2019 12:50,0.687289238,0.422692239
4,5/3/2019 12:53,5/3/2019 12:57,1.220955014,0.754718661
5,5/3/2019 13:11,5/3/2019 13:15,0.950025615,0.69052285
5,5/3/2019 13:18,5/3/2019 13:20,0.508025944,0.332352281
5,5/3/2019 13:23,5/3/2019 13:30,1.621664643,1.047775745
5,5/3/2019 13:32,5/3/2019 13:33,0.267456532,0.181991816
6,5/3/2019 13:46,5/3/2019 13:48,0.334139881,0.230438337
6,5/3/2019 13:50,5/3/2019 13:57,1.65307346,1.236721009
6,5/3/2019 14:00,5/3/2019 14:02,0.770170331,0.478253007
6,5/3/2019 14:04,5/3/2019 14:09,1.197724342,0.743763089
7,5/3/2019 14:16,5/3/2019 14:18,0.387085634,0.236390576
7,5/3/2019 14:21,5/3/2019 14:27,1.406704217,0.859943688
7,5/3/2019 14:28,5/3/2019 14:30,0.374825835,0.229962349
7,5/3/2019 14:39,5/3/2019 14:41,0.378759623,0.234998226
8,5/3/2019 14:53,5/3/2019 15:01,1.714464874,1.381233811
8,5/3/2019 15:03,5/3/2019 15:05,0.37543571,0.244382501
8,5/3/2019 15:07,5/3/2019 15:12,1.390834332,0.876786828
8,5/3/2019 15:13,5/3/2019 15:14,0.282019615,0.178294659
9,5/3/2019 15:33,5/3/2019 15:36,0.509360759,0.410398811
